name,location,address1,city,state,zip,full_address
Dollar Tree #5387,Mt Pocono Plaza,3236 Route 940 Suite 107,Mt. Pocono,PA,18344,"3236 Route 940 Suite 107 Mt. Pocono, PA 18344"
Dollar Tree #3810,Highlands Mall,28 Highlands Mall,Natrona Heights,PA,15065,"28 Highlands Mall Natrona Heights, PA 15065"
Dollar Tree #2479,Nazareth Plaza,865 Nazareth Pike,Nazareth,PA,18064,"865 Nazareth Pike Nazareth, PA 18064"
Dollar Tree #3930,Town Center of New Britain,426 Town Center,New Britain,PA,18901,"426 Town Center New Britain, PA 18901"
Dollar Tree #520,Wal Mart Supercenter,2567 W. State St..,New Castle,PA,16101,"2567 W. State St.. New Castle, PA 16101"
Dollar Tree #5730,Lawrence Village Shopping Cent,2650 Ellwood Rd. #7.,New Castle,PA,16101,"2650 Ellwood Rd. #7. New Castle, PA 16101"
Dollar Tree #6779,Fairview Commons,110 Old York Rd,New Cumberland,PA,17070,"110 Old York Rd New Cumberland, PA 17070"
Dollar Tree #1623,Northtowne Plaza,2888 Dekalb Pike,Norristown,PA,19401,"2888 Dekalb Pike Norristown, PA 19401"
Dollar Tree #6448,Fmr Walgreens,12119 State Route 30... .,North Huntingdon,PA,15642,"12119 State Route 30... . North Huntingdon, PA 15642"
Dollar Tree #2417,The Shoppes at North Huntingdo,8939 Lincoln Highway Suite 108,North Huntingdon,PA,15642,"8939 Lincoln Highway Suite 108 North Huntingdon, PA 15642"
Dollar Tree #1275,Rossi Plaza,110 Walmart Drive,North Versailles,PA,15137,"110 Walmart Drive North Versailles, PA 15137"
Dollar Tree #2932,Montgomery Commons,1200 Welsh Road. Suite A2,North Wales,PA,19454,"1200 Welsh Road. Suite A2 North Wales, PA 19454"
Dollar Tree #6485,Oxford Crossing,100 Commons Drive.,Oxford,PA,19363,"100 Commons Drive. Oxford, PA 19363"
Dollar Tree #4232,Northside Commons,109 Northside Commons,Palmyra,PA,17078,"109 Northside Commons Palmyra, PA 17078"
Dollar Tree #1994,West Sadsbury Commons,332 Commons Drive,Parkesburg,PA,19365,"332 Commons Drive Parkesburg, PA 19365"
Dollar Tree #5514,Perkasie Square,537 Constitution Avenue,Perkasie,PA,18944,"537 Constitution Avenue Perkasie, PA 18944"
